timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
29632951,5.1930084,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
29642958,5.1936126,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
30132956,5.183743,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
30632951,5.1888795,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
31132950,5.205899,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
31632955,5.213553,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
32142955,5.1940155,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
32632948,5.211136,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
33132956,5.215466,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
33632956,5.208316,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
34132948,5.204489,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
34632950,5.17619,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
35132952,5.1983457,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
35642953,5.2153654,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
36132957,5.212143,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
36632951,5.206201,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
37132961,5.2136536,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
37632951,5.205395,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
38132958,5.2104306,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
38632956,5.1856565,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
39142954,5.211136,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
39632953,5.190088,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
40132948,5.212143,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
40632951,5.2149625,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
41132953,5.205899,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
41632950,5.21033,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
42132954,5.2061005,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
42642951,5.1812253,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
43132949,5.2046905,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
43632950,5.19039,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
44132949,5.188678,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
44632951,5.178305,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
45132952,5.206604,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
45632950,5.207309,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
46142953,5.2032804,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
46632953,5.210733,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
47132953,5.201468,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
47632948,5.2015686,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
48132951,5.1904907,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
48632953,5.192303,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
49132976,5.2012663,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
49642950,5.2092223,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
50132951,5.202475,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
50632953,5.1860595,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
51132974,5.2106323,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
51633056,5.2110353,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
52133043,5.196936,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
52632996,5.189685,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
53142949,5.200662,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
53632954,5.206604,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
54132951,5.2120423,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
54632956,5.2110353,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
55132980,5.203482,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
55632951,5.210028,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
56132951,5.2071075,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
56642952,5.1946197,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
57132951,5.1904907,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
